year,China,United States,India,Russia,Japan
1986,2.1042133538709558,4.663711645125507,0.4263093881006889,2.348927978020095,0.9140479286517673
1987,2.2577385394573217,4.826012650503312,0.45534305297944133,2.3579203359978274,0.9021781175265694
1988,2.425893552815968,5.050858381251685,0.49169217093890555,2.436935512484845,0.9846974748505734
1989,2.4636543673780835,5.132543278560299,0.5406510373545403,2.4048255173808966,1.02127796437861
1990,2.4848548200000007,5.120957207036089,0.5779960468230255,2.536247742471217,1.1573931638969115
1991,2.6060961821768402,5.062956717790391,0.6153649808902576,2.406755722270304,1.1690930025742048
1992,2.7307875873620606,5.1742275065790615,0.6554470163850181,1.9665048105112655,1.1788920379000203
1993,2.9216509561567623,5.272850808250576,0.6772992355708196,1.866729113073012,1.1718924951092191
1994,3.103738692903476,5.364279285279747,0.7140637262017557,1.6476646006794073,1.2268931806493655
1995,3.3616372347441406,5.425259695882842,0.7604616205487809,1.6197271159439754,1.2391948325005018
1996,3.5088181468360924,5.612982751633382,0.8236206411580834,1.5868220848072683,1.25169475350696
1997,3.5155942292319997,5.688142511024653,0.8580111891397104,1.4822445110004892,1.244395220062252
1998,3.36458759405,5.733280550498556,0.8757723404297196,1.4652534588351418,1.2045942022992142
1999,3.5572746007987806,5.803917834036096,0.9607629224211617,1.4941788373357705,1.2411953872858668
2000,3.649226559252001,6.010135927923955,0.9864446174803152,1.4791424826166502,1.2639931924956367
2001,3.728509817047192,5.9077399353836695,1.0005267110088407,1.5156471333769024,1.2493934542463088
2002,4.103046353595998,5.946308144551857,1.032139757359928,1.5067879477820245,1.2789946042486056
2003,4.8411186896,6.010145462850155,1.0677369737321587,1.5370183091137182,1.2874948533818524
2004,5.217350872588011,6.112654584187942,1.1338276029906567,1.5439570811945864,1.2828947783978062
2005,5.882106218859989,6.132183270219091,1.19459241251848,1.5625768970236387,1.2902961130156105
2006,6.494330723336002,6.052686214908383,1.292484616288268,1.6230019336761952,1.2672954148497326
2007,6.983547409235989,6.130122759520679,1.3925060081872163,1.6237812869719221,1.3029961593254116
2008,7.501497553569674,5.915118465170846,1.4894375026314186,1.6520645136976324,1.232195694411449
2009,7.891078304928004,5.480725731474383,1.6122163394002487,1.5450343939310125,1.163392540408384
2010,8.620575738494313,5.679715248584084,1.6773371961016326,1.6327831583932086,1.214798148693126
2011,9.532332109920082,5.546116067320566,1.7647124191032093,1.6859096050838527,1.264796664627797
2012,9.779292069088132,5.3440859797277644,1.9256997187372702,1.7012682924833207,1.305997715997402
2013,9.956328870459307,5.480156536706715,1.9950981112364767,1.640437428206843,1.3152977992771802
2014,9.990257301420854,5.528681067176277,2.148343713570936,1.6399590725178321,1.2638057125822746
2015,9.863456795781795,5.376473124678936,2.234219516899492,1.638675263235692,1.2231993366787783
2016,9.76271369159694,5.252932175086567,2.3546579778063594,1.6348849745902136,1.2031839009307952
2017,10.006342971143296,5.212162345481302,2.426606901535501,1.6661212062391182,1.1874844621682037
2018,10.332992388773533,5.377797353125854,2.593057866598569,1.712494427663644,1.1424809391920507
2019,10.71398481906079,5.262145074316446,2.6128880378309773,1.7050309169014943,1.105477982303447
2020,10.905692963763483,4.714628031895343,2.421552261202166,1.6329293118830563,1.0404834162918815
2021,11.44791286273868,5.032212819231027,2.6742219105183915,1.7119933153431643,1.061905265205068
2022,11.350537666704273,5.078871323198887,2.831166260914098,1.8021899236768197,1.0326867792191061
2023,11.902503160173499,4.911391016665274,3.062324489737139,1.8159247042913387,0.9887847240602985
