year,country,emissions_gtco2,world_gtco2,pct_share
1966,India,0.15937340277488696,11.862646324054055,1.3434894577588752
1966,Russia,1.2235808789501659,11.862646324054055,10.314569325641058
1966,Japan,0.41978006077019014,11.862646324054055,3.5386712989916607
1967,China,0.46022589545446985,12.237369275712846,3.76082379378603
1967,United States,3.7054609529718263,12.237369275712846,30.27988180699873
1967,India,0.15955583912402782,12.237369275712846,1.3038410096906505
1967,Russia,1.2794390502005517,12.237369275712846,10.455180532468015
1967,Japan,0.48991198987422985,12.237369275712846,4.003409383473816
1968,China,0.49550656603587456,12.90528307166949,3.8395637142097447
1968,United States,3.8409195562562455,12.90528307166949,29.76238130481678
1968,India,0.17406933573514285,12.90528307166949,1.3488222983443974
1968,Russia,1.3153955763313105,12.90528307166949,10.192690613807237
1968,Japan,0.5625610839228123,12.90528307166949,4.359153385467248
1969,China,0.6076833656942292,13.761785288614103,4.415730611616211
1969,United States,4.035145340419413,13.761785288614103,29.321379863104784
1969,India,0.1774133572271702,13.761785288614103,1.2891739952806431
1969,Russia,1.3698984661250928,13.761785288614103,9.95436592996758
1969,Japan,0.6538456292527162,13.761785288614103,4.7511686568288445
1970,China,0.8079526265844333,14.899124437287373,5.422819508523644
1970,United States,4.3396860069355485,14.899124437287373,29.127121027829062
1970,India,0.18172264515743614,14.899124437287373,1.2196867401325073
1970,Russia,1.4407731394873782,14.899124437287373,9.670186631112495
1970,Japan,0.7697402858877856,14.899124437287373,5.166345775067097
1971,China,0.9092097002588906,15.503854716903986,5.8644106053675245
1971,United States,4.365465254134969,15.503854716903986,28.157289486048043
1971,India,0.19196368505621278,15.503854716903986,1.2381674658426278
1971,Russia,1.5289547836929314,15.503854716903986,9.861771872938792
1971,Japan,0.799643417555888,15.503854716903986,5.157707113212496
1972,China,0.9686455958746376,16.224596650076503,5.9702291327536345
1972,United States,4.573015379301501,16.224596650076503,28.18569532377212
1972,India,0.20303598325111302,16.224596650076503,1.2514085103629102
1972,Russia,1.6086550458070035,16.224596650076503,9.914915486046418
1972,Japan,0.8610464322343154,16.224596650076503,5.30704368684725
1973,China,1.0082925758136227,17.085092898237612,5.901592586117174
1973,United States,4.785433993314527,17.085092898237612,28.009411607051675
1973,India,0.20909504121954509,17.085092898237612,1.2238449182861275
1973,Russia,1.6765930992068518,17.085092898237612,9.813192759284314
1973,Japan,0.9142622757513794,17.085092898237612,5.351228004418336
1974,China,1.0280998671539423,17.011071682690527,6.043710157309352
1974,United States,4.621418771255842,17.011071682690527,27.16712302116937
1974,India,0.2158531809983455,17.011071682690527,1.2688981918639792
1974,Russia,1.740436772003181,17.011071682690527,10.231200035293178
1974,Japan,0.9143025541699287,17.011071682690527,5.374749875989703
1975,China,1.1832149556681808,17.05275262618713,6.938556968516461
1975,United States,4.478562948820032,17.05275262618713,26.262991359779114
1975,India,0.2342091234736865,17.05275262618713,1.3734388142945455
1975,Russia,1.8294517275531292,17.05275262618713,10.728190150039028
1975,Japan,0.8697964621409928,17.05275262618713,5.100622059134819
1976,China,1.226421276914655,17.989112065979,6.817575389026912
1976,United States,4.7481114129818796,17.989112065979,26.394362298523365
1976,India,0.2447493671481686,17.989112065979,1.3605416779355024
1976,Russia,1.8999106529207324,17.989112065979,10.561447646511928
1976,Japan,0.9095554837097982,17.989112065979,5.056144407649497
1977,China,1.3408311147290002,18.498634216613343,7.248270867072014
1977,United States,4.889953300780192,18.498634216613343,26.434131533822097
1977,India,0.2589617334090521,18.498634216613343,1.3998965025022359
1977,Russia,1.9645339109388296,18.498634216613343,10.619886246383052
1977,Japan,0.9355299014784347,18.498634216613343,5.057291746642838
1978,China,1.4927778454531875,19.069290539681667,7.8281771539787295
1978,United States,4.941708664262827,19.069290539681667,25.914486194331808
1978,India,0.2631495552584721,19.069290539681667,1.379965105208707
1978,Russia,2.032001974593123,19.069290539681667,10.655886596120027
1978,Japan,0.9050642799750968,19.069290539681667,4.74618747924434
1979,China,1.5256611481503406,19.609020291566715,7.780404759979183
1979,United States,5.008955779336503,19.609020291566715,25.544140935438335
1979,India,0.27628473968285944,19.609020291566715,1.408967585196909
1979,Russia,2.048854885885466,19.609020291566715,10.448532641718058
1979,Japan,0.9571301808792234,19.609020291566715,4.881070888028292
1980,China,1.4944958841526663,19.488524409128885,7.668594362396207
1980,United States,4.808877356405471,19.488524409128885,24.675430809696806
1980,India,0.2917110993869594,19.488524409128885,1.4968352311492346
1980,Russia,2.129468485728253,19.488524409128885,10.926781530626092
1980,Japan,0.9485349899963997,19.488524409128885,4.867146275846741
1981,China,1.476487854357187,19.02290478058068,7.761631945213978
1981,United States,4.686743198002041,19.02290478058068,24.637368751308948
1981,India,0.3149661872903519,19.02290478058068,1.6557207793621593
1981,Russia,2.088922588248979,19.02290478058068,10.98109154381844
1981,Japan,0.9303688207781189,19.02290478058068,4.890782094056821
1982,China,1.6065850134287218,18.871097906658395,8.5134686989349
1982,United States,4.447601938419118,18.871097906658395,23.56832633913603
1982,India,0.3253800095765641,18.871097906658395,1.7242240551449763
1982,Russia,2.1283051649794706,18.871097906658395,11.27812051798284
1982,Japan,0.9007132733921419,18.871097906658395,4.772977586398607
1983,China,1.694216811044144,18.9919104329692,8.92072873355095
1983,United States,4.42971105054511,18.9919104329692,23.324199354138212
1983,India,0.3521988456657621,18.9919104329692,1.8544677056519756
1983,Russia,2.1584923932626747,18.9919104329692,11.365325257198023
1983,Japan,0.8844199077880746,18.9919104329692,4.656824340603234
1984,China,1.8448280124044034,19.64780141968842,9.389488284199379
1984,United States,4.662488490712444,19.64780141968842,23.730331914085394
1984,India,0.3615594326706341,19.64780141968842,1.8402030076928972
1984,Russia,2.1776591428037704,19.64780141968842,11.083474920616865
1984,Japan,0.9405275765114365,19.64780141968842,4.786935476500513
1985,China,1.9980829041443624,20.31190162559456,9.83700561855136
1985,United States,4.6529379887376106,20.31190162559456,22.907446454321885
1985,India,0.3975921154960393,20.31190162559456,1.957434231539614
1985,Russia,2.3485356079324964,20.31190162559456,11.562362063496607
1985,Japan,0.9152633402403503,20.31190162559456,4.506044569884328
1986,China,2.1042133538709558,20.614963191398914,10.207213732736069
1986,United States,4.663711645125507,20.614963191398914,22.622944323622786
1986,India,0.4263093881006889,20.614963191398914,2.0679609473111067
1986,Russia,2.348927978020095,20.614963191398914,11.39428654910297
1986,Japan,0.9140479286517673,20.614963191398914,4.433905218094841
1987,China,2.2577385394573217,21.250074601500124,10.624614650990164
1987,United States,4.826012650503312,21.250074601500124,22.71056803801821
1987,India,0.45534305297944133,21.250074601500124,2.142783314969148
1987,Russia,2.3579203359978274,21.250074601500124,11.096056744343723
1987,Japan,0.9021781175265694,21.250074601500124,4.24552917787348
1988,China,2.425893552815968,22.085130011617036,10.984284681774206
1988,United States,5.050858381251685,22.085130011617036,22.869950861031267
1988,India,0.49169217093890555,22.085130011617036,2.226349451781673
1988,Russia,2.436935512484845,22.085130011617036,11.034281940848835
1988,Japan,0.9846974748505734,22.085130011617036,4.4586446823388
1989,China,2.4636543673780835,22.386637474888218,11.005021947318532
1989,United States,5.132543278560299,22.386637474888218,22.926816429299095
1989,India,0.5406510373545403,22.386637474888218,2.415061386333724
1989,Russia,2.4048255173808966,22.386637474888218,10.742236390250493
1989,Japan,1.02127796437861,22.386637474888218,4.5619980469340655
1990,China,2.4848548200000007,22.728988297609117,10.932535964486306
1990,United States,5.120957207036089,22.728988297609117,22.530510993200554
1990,India,0.5779960468230255,22.728988297609117,2.5429906481311595
1990,Russia,2.536247742471217,22.728988297609117,11.158647755289694
1990,Japan,1.1573931638969115,22.728988297609117,5.092145540057578
1991,China,2.6060961821768402,23.186101443204016,11.239906754314243
1991,United States,5.062956717790391,23.186101443204016,21.83617082066366
1991,India,0.6153649808902576,23.186101443204016,2.6540252245408196
1991,Russia,2.406755722270304,23.186101443204016,10.380165583963398
1991,Japan,1.1690930025742048,23.186101443204016,5.042214645001792
1992,China,2.7307875873620606,22.528172032547293,12.121656312890321
1992,United States,5.1742275065790615,22.528172032547293,22.96780892432667
1992,India,0.6554470163850181,22.528172032547293,2.9094549501755815
1992,Russia,1.9665048105112655,22.528172032547293,8.729091768609466
1992,Japan,1.1788920379000203,22.528172032547293,5.2329680197613495
1993,China,2.9216509561567623,22.75578698466023,12.839155851328101
1993,United States,5.272850808250576,22.75578698466023,23.171471994376756
1993,India,0.6772992355708196,22.75578698466023,2.976382385840533
1993,Russia,1.866729113073012,22.75578698466023,8.203315993120263
1993,Japan,1.1718924951092191,22.75578698466023,5.149865816107335
1994,China,3.103738692903476,22.992946898531393,13.498655507710142
1994,United States,5.364279285279747,22.992946898531393,23.330107745442472
1994,India,0.7140637262017557,22.992946898531393,3.10557724224277
1994,Russia,1.6476646006794073,22.992946898531393,7.165956621178676
1994,Japan,1.2268931806493655,22.992946898531393,5.335954482318791
1995,China,3.3616372347441406,23.532083006182194,14.28533646537365
1995,United States,5.425259695882842,23.532083006182194,23.054736354863074
1995,India,0.7604616205487809,23.532083006182194,3.231595011580562
1995,Russia,1.6197271159439754,23.532083006182194,6.88305882449272
1995,Japan,1.2391948325005018,23.532083006182194,5.2659802031760155
1996,China,3.5088181468360924,24.25816744906004,14.464481516191583
1996,United States,5.612982751633382,24.25816744906004,23.138527522411323
1996,India,0.8236206411580834,24.25816744906004,3.395230257551863
1996,Russia,1.5868220848072683,24.25816744906004,6.541393071588987
1996,Japan,1.25169475350696,24.25816744906004,5.159889988126292
1997,China,3.5155942292319997,24.40190570535728,14.407047841596132
1997,United States,5.688142511024653,24.40190570535728,23.310238879317765
1997,India,0.8580111891397104,24.40190570535728,3.5161646778732516
1997,Russia,1.4822445110004892,24.40190570535728,6.074298167110252
1997,Japan,1.244395220062252,24.40190570535728,5.0995821190680735
1998,China,3.36458759405,24.303777314257985,13.843887518160154
1998,United States,5.733280550498556,24.303777314257985,23.59008016064682
1998,India,0.8757723404297196,24.303777314257985,3.6034412639056788
1998,Russia,1.4652534588351418,24.303777314257985,6.028912460350517
1998,Japan,1.2045942022992142,24.303777314257985,4.956407338346251
1999,China,3.5572746007987806,24.853727678796318,14.312841304017464
1999,United States,5.803917834036096,24.853727678796318,23.35230315968918
1999,India,0.9607629224211617,24.853727678796318,3.86566930658384
1999,Russia,1.4941788373357705,24.853727678796318,6.01189027515785
1999,Japan,1.2411953872858668,24.853727678796318,4.994000913371152
2000,China,3.649226559252001,25.510552796846834,14.304772571228069
2000,United States,6.010135927923955,25.510552796846834,23.559410788882715
2000,India,0.9864446174803152,25.510552796846834,3.8668100426355405
2000,Russia,1.4791424826166502,25.510552796846834,5.798159273128239
2000,Japan,1.2639931924956367,25.510552796846834,4.954785584465536
2001,China,3.728509817047192,25.70629344761658,14.50426847668655
2001,United States,5.9077399353836695,25.70629344761658,22.981687139852593
2001,India,1.0005267110088407,25.70629344761658,3.8921469291077706
