year,world_gtco2,region,emissions_gtco2,pct_share
1979,19.609020291566715,United States,5.008955779336503,25.544140935438335
1979,19.609020291566715,European Union,4.114610196488464,20.98325227527069
1979,19.609020291566715,Rest of World,8.683508427908546,44.283234444114875
1980,19.488524409128885,China,1.4944958841526663,7.668594362396207
1980,19.488524409128885,India,0.2917110993869594,1.4968352311492346
1980,19.488524409128885,United States,4.808877356405471,24.675430809696806
1980,19.488524409128885,European Union,4.079016943132164,20.930352947714482
1980,19.488524409128885,Rest of World,8.814423126051626,45.22878664904328
1981,19.02290478058068,China,1.476487854357187,7.761631945213978
1981,19.02290478058068,India,0.3149661872903519,1.6557207793621593
1981,19.02290478058068,United States,4.686743198002041,24.637368751308948
1981,19.02290478058068,European Union,3.8649200861859887,20.31719198916166
1981,19.02290478058068,Rest of World,8.67978745474511,45.62808653495324
1982,18.871097906658395,China,1.6065850134287218,8.5134686989349
1982,18.871097906658395,India,0.3253800095765641,1.7242240551449763
1982,18.871097906658395,United States,4.447601938419118,23.56832633913603
1982,18.871097906658395,European Union,3.772962572552822,19.99333897378375
1982,18.871097906658395,Rest of World,8.71856837268117,46.200641933000355
1983,18.9919104329692,China,1.694216811044144,8.92072873355095
1983,18.9919104329692,India,0.3521988456657621,1.8544677056519756
1983,18.9919104329692,United States,4.42971105054511,23.324199354138212
1983,18.9919104329692,European Union,3.730055864915257,19.6402351310589
1983,18.9919104329692,Rest of World,8.785727860798929,46.260369075599975
1984,19.64780141968842,China,1.8448280124044034,9.389488284199379
1984,19.64780141968842,India,0.3615594326706341,1.8402030076928972
1984,19.64780141968842,United States,4.662488490712444,23.730331914085394
1984,19.64780141968842,European Union,3.765173009107937,19.163329925225018
1984,19.64780141968842,Rest of World,9.013752474793002,45.87664686879731
1985,20.31190162559456,China,1.9980829041443624,9.83700561855136
1985,20.31190162559456,India,0.3975921154960393,1.957434231539614
1985,20.31190162559456,United States,4.6529379887376106,22.907446454321885
1985,20.31190162559456,European Union,3.823161737431707,18.822273797418497
1985,20.31190162559456,Rest of World,9.440126879784843,46.475839898168644
1986,20.614963191398914,China,2.1042133538709558,10.207213732736069
1986,20.614963191398914,India,0.4263093881006889,2.0679609473111067
1986,20.614963191398914,United States,4.663711645125507,22.622944323622786
1986,20.614963191398914,European Union,3.8084679627496683,18.474289414878303
1986,20.614963191398914,Rest of World,9.612260841552095,46.62759158145174
1987,21.250074601500124,China,2.2577385394573217,10.624614650990164
1987,21.250074601500124,India,0.45534305297944133,2.142783314969148
1987,21.250074601500124,United States,4.826012650503312,22.71056803801821
1987,21.250074601500124,European Union,3.8410707184342363,18.075563453142326
1987,21.250074601500124,Rest of World,9.869909640125814,46.44647054288016
1988,22.085130011617036,China,2.425893552815968,10.984284681774206
1988,22.085130011617036,India,0.49169217093890555,2.226349451781673
1988,22.085130011617036,United States,5.050858381251685,22.869950861031267
1988,22.085130011617036,European Union,3.802716346382842,17.21844673036821
1988,22.085130011617036,Rest of World,10.313969560227635,46.700968275044644
1989,22.386637474888218,China,2.4636543673780835,11.005021947318532
1989,22.386637474888218,India,0.5406510373545403,2.415061386333724
1989,22.386637474888218,United States,5.132543278560299,22.926816429299095
1989,22.386637474888218,European Union,3.839695101989548,17.15172770496084
1989,22.386637474888218,Rest of World,10.410093689605748,46.50137253208782
1990,22.728988297609117,China,2.4848548200000007,10.932535964486306
1990,22.728988297609117,India,0.5779960468230255,2.5429906481311595
1990,22.728988297609117,United States,5.120957207036089,22.530510993200554
1990,22.728988297609117,European Union,3.8701080693571095,17.027190206104375
1990,22.728988297609117,Rest of World,10.675072154392897,46.96677218807763
1991,23.186101443204016,China,2.6060961821768402,11.239906754314243
1991,23.186101443204016,India,0.6153649808902576,2.6540252245408196
1991,23.186101443204016,United States,5.062956717790391,21.83617082066366
1991,23.186101443204016,European Union,3.8043983431420507,16.40809841387605
1991,23.186101443204016,Rest of World,11.097285219204473,47.861798786605206
1992,22.528172032547293,China,2.7307875873620606,12.121656312890321
1992,22.528172032547293,India,0.6554470163850181,2.9094549501755815
1992,22.528172032547293,United States,5.1742275065790615,22.96780892432667
1992,22.528172032547293,European Union,3.6775071450247196,16.324037031107927
1992,22.528172032547293,Rest of World,10.29020277719643,45.677042781499495
1993,22.75578698466023,China,2.9216509561567623,12.839155851328101
